lon,lat,sex,education,age,sex_divining_ability,sex_random_guess,boy_number,abcd_random_guess,abcd_guessing_ability,TF_random_guess,coin_head,random ID,sex_divining_ability_reordered
-80.08370209,36.11680603,1,3,5,1,40,5,100,2,25,40,73463,5
-73.96140289,40.75469971,0,5,3,3,50,50,20,,40,35,49641,3
-70.80770111,42.05810547,0,4,5,3,50,30,50,4,50,50,65595,3
-116.4967041,43.70129395,0,4,3,3,55,35,30,3,35,70,61243,3
-43.35949707,-22.79150391,1,4,5,4,20,60,10,2,40,50,56184,2
-46.62950134,-23.63760376,0,4,3,2,10,40,55,2,30,60,79466,4
73.72860718,18.61610413,0,4,4,1,35,60,35,3,30,45,16657,5
-97.38760376,27.73199463,0,4,5,1,50,50,25,1,50,50,55930,5
-96.79389954,32.71229553,0,2,4,3,30,80,90,4,20,65,97076,3
80.19210815,13.0579071,1,4,4,5,20,30,40,5,75,20,30120,1
-76.32800293,43.15710449,0,5,10,1,50,50,25,1,50,50,61540,5
80.19210815,13.0579071,1,1,3,3,75,60,75,5,65,100,93483,3
-46.62950134,-23.63760376,1,5,5,3,50,55,50,3,60,50,44502,3
-96.55149841,33.74220276,1,3,6,3,50,45,10,1,15,45,26480,3
-80.84300232,35.229599,0,3,7,3,50,50,50,3,50,50,67614,3
-73.53179932,40.75999451,0,3,5,2,25,60,40,3,35,45,57009,4
-97.38050079,30.3217926,1,5,4,4,90,50,35,4,30,45,16415,2
12.51260376,41.897995,0,6,7,2,50,50,40,3,50,50,97049,4
-85.4417038,35.9447937,0,3,6,3,10,15,5,3,50,50,17813,3
-80.95680237,35.2071991,0,4,5,3,5,10,10,2,20,25,15143,3
-93.2990036,37.21170044,0,4,3,3,35,35,30,2,65,70,60933,3
-51.11070251,-25.18099976,0,5,3,4,45,45,35,2,30,50,28857,2
-82.31860352,34.92739868,0,4,12,1,50,40,35,2,40,40,39746,5
-88.00340271,42.26449585,1,3,3,3,50,50,25,3,50,50,14389,3
-84.16269684,34.23190308,0,5,4,4,40,20,65,4,15,15,98490,2
-88.2365036,40.11199951,1,4,4,1,50,50,25,3,50,50,87495,5
-52.00659943,-30.20530701,1,5,6,3,20,40,20,2,20,50,95462,3
80.19210815,13.0579071,1,5,5,3,60,45,55,2,35,65,65298,3
-97.09449768,18.85020447,1,5,5,4,80,65,90,4,80,25,11858,2
-76.72789764,39.37330627,1,6,12,3,50,50,25,3,50,50,24107,3
-60.02880096,-3.10319519,1,4,7,3,35,40,30,4,30,35,99629,3
-76.99330139,39.06799316,1,4,6,1,50,50,25,1,25,50,11379,5
-3.527801514,40.42410278,1,5,5,3,15,5,15,4,10,20,90005,3
-43.33070374,-22.92010498,0,3,5,4,30,40,40,2,15,40,58531,2
-45.03630066,-23.42619324,1,5,6,4,10,50,25,4,50,50,98224,2
-76.23429871,36.73480225,0,4,11,4,55,55,20,3,20,40,56294,2
-118.3432007,33.91679382,0,4,7,1,50,50,25,1,30,40,93339,5
-79.71720123,43.56390381,0,4,8,3,15,35,40,2,50,50,39749,3
-97.8219986,37.75100708,0,4,4,3,50,50,25,2,50,50,64223,3
78.47439575,17.37530518,1,5,4,4,65,55,50,2,25,55,40118,2
-80.81939697,35.05619812,0,3,6,3,25,40,30,3,30,60,47665,3
-8.618301392,41.23460388,1,5,8,3,50,40,35,3,30,45,92253,3
-82.75520325,27.90809631,0,4,4,3,45,45,35,2,50,50,99369,3
30.29499817,59.90899658,1,4,6,2,50,50,25,3,50,50,14496,4
-88.07579803,41.94619751,1,4,5,3,50,50,30,3,50,50,50781,3
77.75750732,22.6217041,1,3,5,1,50,50,40,3,45,50,25581,5
-73.540802,40.78640747,0,4,8,1,25,25,15,2,20,15,16230,5
-76.72540283,37.2671051,1,4,7,1,50,45,30,3,50,55,91637,5
-81.62799835,32.29400635,0,4,3,3,50,20,20,2,50,55,66475,3
-1.031997681,52.90890503,1,4,2,3,50,50,25,2,25,50,24150,3
-1.031997681,52.90890503,0,4,2,2,25,5,25,5,15,50,69188,4
-85.69000244,30.84640503,1,5,5,1,30,40,25,2,50,50,13764,5
-77.55419922,39.44270325,0,5,7,1,50,50,25,3,50,50,63166,5
-0.14239502,51.44059753,0,3,4,1,30,25,5,1,35,10,23327,5
-117.3531952,34.54040527,0,5,7,2,40,60,25,2,45,45,48064,4
-80.29250336,27.1605072,0,4,9,3,20,55,20,3,25,25,50204,3
-47.04440308,-22.89700317,0,4,3,4,50,40,65,3,45,50,28891,2
-77.49780273,18.25030518,0,4,3,1,40,45,20,2,40,40,31730,5
-75.02100372,40.04170227,1,5,4,4,10,45,5,4,5,10,64390,2
-77.08589935,38.93789673,1,4,10,3,50,45,25,3,45,50,47129,3
-45.42930603,-20.46200562,0,4,8,3,35,55,55,2,60,40,83317,3
13.42449951,52.53529358,0,5,4,4,10,15,75,2,10,15,26134,2
-118.2946014,34.04469299,1,4,5,3,10,60,65,3,50,50,11911,3
-118.2946014,34.04469299,1,4,5,3,50,50,50,3,50,50,58932,3
-79.37110138,43.64030457,1,4,5,2,50,40,50,2,25,50,92680,4
-105.0618973,39.74349976,0,4,10,1,50,50,25,1,50,50,55800,5
-43.31750488,-22.78860474,1,3,3,3,40,70,55,4,45,60,67626,3
-122.4805984,37.68110657,0,4,7,4,30,60,40,1,25,40,80030,2
-73.51180267,40.72790527,1,4,6,3,35,50,40,4,40,40,29792,3
-71.4641037,41.59210205,0,4,10,1,50,50,25,1,50,50,56024,5
79.13250732,12.918396,0,4,3,4,55,15,10,3,10,5,89534,2
-39.60380554,-13.04750061,1,4,3,1,50,50,25,2,50,50,65881,5
-77.0923996,38.75909424,0,4,7,2,50,45,20,3,50,50,73289,4
1.204101563,49.39239502,1,5,6,5,40,25,5,4,30,75,84054,1
-81.98100281,35.04600525,0,6,5,1,50,50,25,3,50,50,41698,5
