序号,提交答卷时间,所用时间,来源,来源详情,来自IP,备注,sex,age,education,sex_divining_ability,sex_random_guess,boy_number,abcd_random_guess,abcd_guessing_ability,TF_random_guess,coin_head,illness bad,illness good,previous survey filled
68,4/6/2021 13:10,130秒,微信,N/A,218.63.77.203(云南-曲靖),,0,2,4,4,0,,5,2,,,,,0
69,4/6/2021 13:43,40秒,微信,N/A,14.204.0.168(云南-昆明),,1,2,4,3,15,,40,3,,,,,0
70,4/6/2021 15:01,80秒,微信,N/A,223.104.241.64(云南-未知),,0,2,4,3,40,,25,3,,,,,0
71,4/6/2021 18:42,114秒,微信,N/A,60.22.22.9(辽宁-营口),,1,11,4,5,5,,10,5,,,,,0
76,4/9/2021 10:26,39秒,微信,N/A,39.129.167.9(云南-红河),,1,2,4,3,30,,5,5,,,,,0
3,4/20/2021 19:51,120秒,微信,N/A,223.104.241.212(云南-未知),杨凤,0,2,4,4,5,10,10,4,15,15,愿意,愿意,1
4,4/20/2021 20:34,52秒,微信,N/A,117.136.85.58(云南-昆明),,1,3,4,3,50,50,50,3,50,50,非常愿意,愿意,1
5,4/20/2021 20:34,71秒,微信,N/A,117.136.84.244(云南-昆明),,1,3,5,1,60,65,65,3,65,70,无所谓,愿意,1
6,4/20/2021 20:34,57秒,微信,N/A,39.130.112.94(云南-昆明),,1,2,4,4,10,30,50,2,20,80,非常不愿意,非常愿意,1
7,4/20/2021 20:35,119秒,微信,N/A,27.128.1.48(河北-石家庄),,0,2,4,1,50,50,50,2,60,50,愿意,愿意,0
8,4/20/2021 20:35,67秒,微信,N/A,39.128.183.102(云南-普洱),,0,2,4,3,65,50,45,2,50,45,愿意,愿意,1
9,4/20/2021 20:35,49秒,微信,N/A,223.104.240.114(云南-未知),,1,3,3,5,55,5,30,5,70,0,非常愿意,无所谓,1
10,4/20/2021 20:36,82秒,微信,N/A,39.129.18.42(云南-昆明),,1,2,4,3,15,35,15,3,20,35,不愿意,愿意,0
11,4/20/2021 20:36,142秒,微信,N/A,39.128.137.209(云南-临沧),,1,4,4,1,50,55,20,5,20,40,愿意,愿意,1
12,4/20/2021 20:37,178秒,微信,N/A,116.249.53.27(云南-昆明),,0,2,4,3,5,45,15,4,45,35,愿意,愿意,1
13,4/20/2021 20:39,72秒,微信,N/A,180.130.2.173(云南-昆明),,0,2,4,3,5,50,20,4,15,50,不愿意,无所谓,1
14,4/20/2021 20:41,78秒,微信,N/A,39.144.137.202(四川-成都),,0,2,4,3,25,25,45,3,40,50,不愿意,非常不愿意,1
15,4/20/2021 20:45,146秒,微信,N/A,111.183.60.219(湖北-黄冈),,1,3,4,3,5,50,25,2,25,35,不愿意,不愿意,0
16,4/20/2021 20:46,80秒,微信,N/A,106.61.243.178(云南-昆明),,0,2,4,2,10,45,30,3,30,85,无所谓,无所谓,0
17,4/20/2021 20:47,144秒,微信,N/A,223.104.241.149(云南-未知),,1,2,4,1,5,50,10,3,30,45,非常愿意,非常愿意,0
